Код;Наименование;ИНН;КПП;Адрес;Телефон;email;Сайт;Дополнительно
4911;Межрайонная ИФНС России № 2 по Магаданской области;4907007767;490701001;,686110,Магаданская обл,Хасынский р-н,,Палатка п,Космонавтов ул, 9,,;"841342-92860; 841342-93804";i4911@r49.nalog.ru;-;Код ОКПО: 55426306. Режим работы: понедельник-пятница 9.00-18.15, обед 13.00-14.00. Отдел по работе с налогоплательщиками: понедельник, среда 9.00-18.00, вторник, четверг 9.00-20.00, пятница 9.00-16.45, без перерыва на обед. 2-я и 4-я суббота с 10.0
4912;Межрайонная ИФНС России № 3 по Магаданской области;4908006886;490801001;,686230,Магаданская обл,Ягоднинский р-н,,Ягодное п,Строителей ул,8,,;"841343-23320; 841343-22310";i4912@r49.nalog.ru;-;Код ОКПО:55426660. Режим работы:понедельник-пятница 8.45-18.00, обед 12.45-14.00. Отдел по работе с налогоплательщиками: понедельник, среда 9.00-18.00, вторник, четверг 9.00-20.00, пятница 9.00-17.00, без перерыв на обед. 1-я и 3-я суббота с 10.00 до
5000;УФНС России по Московской области;7727270387;771401001;125284,Москва г,,,,Хорошевское ш,12А,,,;495-5361334, 495-53612-80, 495-5361211;u50@r50.nalog.ru;www.r50.nalog.ru;Код ОКПО:11761274. Прием: Понедельник-четверг с 9-00 до 18-00, пятница с 9-00 до 16-45
5001;ИФНС России по г.Балашихе Московской области;5001000789;500101001;,143912,Московская обл,,Балашиха г,,Энтузиастов ш,7,Б,;495-5215458, 495-5214056, 495-5210601;i5001@m01.r50.nalog.ru;-;Код ОКПО:11761475, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5003;Межрайонная ИФНС России №14 по Московской области;5003003023;500301001;,142700,Московская обл,,Видное г,,Заводская ул,22А,,;495-5411255, 495-5410343, 495-5481564, 498-5473002;i5003@m03.r50.nalog.ru;-;Код ОКПО:34884594. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5004;Межрайонная ИФНС России №19 по Московской области;5004008144;500401001;,143600,Московская обл,,Волоколамск г,,Октябрьская пл,9,,;496-3621013, 496-2871551, 496-3621062;i5004@m04.r50.nalog.ru;-;Код ОКПО:11761512. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5005;ИФНС России по г.Воскресенску Московской области;5005001649;500501001;,140205,Московская обл,,Воскресенск г,,Докторова ул,18,,;496-4425770, 496-4427379, 496-4410183;i5005@m05.r50.nalog.ru;-;Код ОКПО:11761529. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5007;ИФНС России по г.Дмитрову Московской области;5007005695;500701001;,141800,Московская обл,,Дмитров г,,Пушкинская ул,73,,;496-2274446, 49622-74406, 49622-74314,;i5007@m07.r50.nalog.ru;-;Код ОКПО:11761541. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5009;ИФНС России по г.Домодедово Московской области;5009018570;500901001;,142000,Московская обл,,Домодедово г,,Красноармейская ул,42а,,;49679-76425, 496-7940864;i5009@m09.r50.nalog.ru;-;Код ОКПО:11761564. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5010;Межрайонная ИФНС России №12 по Московской области;5010031007;501001001;,141981,Московская обл,,Дубна г,,Боголюбова пр-кт,30,,;496-2127652, 496-2120246, 496-2120258;i5010@m10.r50.nalog.ru;-;Код ОКПО:11761570. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5011;ИФНС России по г.Егорьевску Московской области;5011001502;501101001;,140300,Московская обл,,Егорьевск г,,Александра Невского ул,7/62,,;496-4049104, 49640-40404;i5011@m11.r50.nalog.ru;-;Код ОКПО:11761587, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5012;Межрайонная ИФНС России №20 по Московской области;5012006503;501201001;,143980,Московская обл,,Железнодорожный г,,Интернациональная ул,22а,,;495-5225350, 495-5225394;i5012@m12.r50.nalog.ru;-;Код ОКПО:46424000000. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5017;ИФНС России по г.Истре Московской области;5017003746;501701001;,143500,Московская обл,,Истра г,,Советская ул,12,,;495-994-38-49, 495-994-38-48, 495-9945947;i5017@m17.r50.nalog.ru;-;Код ОКПО:11761653. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5018;Межрайонная ИФНС России №2 по Московской области;5018038798;501801001;,141070,Московская обл,,Королев г,,Богомолова ул,4,,;495-5166321, 495-5119126;i5018@m18.r50.nalog.ru;-;Код ОКПО:11761660. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5019;Межрайонная ИФНС России №18 по Московской области;5019009422;501901001;,142900,Московская обл,,Кашира г,,Карла Маркса ул,2,,;496-6932195, 496-6732600;i5019@m19.r50.nalog.ru;-;Код ОКПО:11761676. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5020;ИФНС России по г.Клину Московской области;5020006433;502001001;,141601,Московская обл,,Клин г,,Гайдара ул,25,,;496-2431500, 496-2458446;i5020@m20.r50.nalog.ru;-;Код ОКПО:11761682. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5022;Межрайонная ИФНС России №7 по Московской области;5022032284;502201001;,140410,Московская обл,,Коломна г,,Фрунзе ул,43,,;496-6144965, 49670-23386;i5022@m22.r50.nalog.ru;-;Код ОКПО:13300620. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5024;ИФНС России по г.Красногорску Московской области;5024002119;502401001;,143400,Московская обл,,Красногорск г,,Братьев Горожанкиных ул,2а,,;495-2121635, 495-5647423;i5024@m24.r50.nalog.ru;-;Код ОКПО:11761713. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5027;Межрайонная ИФНС России №17 по Московской области;5027036564;502701001;,140000,Московская обл,,Люберцы г,,Котельническая ул,6,,;495-7400022, 495-5031163;i5027@m27.r50.nalog.ru;-;Код ОКПО:11761742. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5029;ИФНС России по г.Мытищи Московской области;5029029812;502901001;,141021,Московская обл,,Мытищи г,,Летная ул,30,1,;498-6848707, 495-5867422;i5029@m29.r50.nalog.ru;-;Код ОКПО:11761765. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5030;ИФНС России по г.Наро-Фоминску Московской области;5030011224;503001001;,143300,Московская обл,,Наро-Фоминск г,,Маршала Жукова ул,13,,;496-3430669, 496-3438485, 496-3437012;i5030@m30.r50.nalog.ru;-;Код ОКПО:11761771. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5031;ИФНС России по г.Ногинску Московской области;5031010382;503101001;,142400,Московская обл,,Ногинск г,,Рабочая ул,105,,;49651-45608;i5031@m31.r50.nalog.ru;-;Код ОКПО:11761788. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5032;Межрайонная ИФНС России №22 по Московской области;5032233705;503201001;,143002,Московская обл,,Одинцово г,,Молодежная ул,32,,;495-5971175;i5032@m32.r50.nalog.ru;-;Код ОКПО:11761794. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5034;Межрайонная ИФНС России №10 по Московской области;5034017940;503401001;,142613,Московская обл,,Орехово-Зуево г,,Северная ул,12в,,;496-4232216, 496-4251507;i5034@m34.r50.nalog.ru;-;Код ОКПО:53132581. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5035;ИФНС России по г.Павловскому Посаду Московской области;5035005256;503501001;,142502,Московская обл,,Павловский Посад г,,Фрунзе ул,30,,;496-4392257, 496-4357092;i5035@m35.r50.nalog.ru;-;Код ОКПО:117561890. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5038;Межрайонная ИФНС России №3 по Московской области;5038019680;503801001;,141200,Московская обл,,Пушкино г,,Московский пр-кт,42,,;496-5393293, 495-5257033;i5038@m38.r50.nalog.ru;-;Код ОКПО:11761937. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5040;Межрайонная ИФНС России №1 по Московской области;5040004804;504001001;,140180,Московская обл,,Жуковский г,,Баженова ул,11Б,,;495-4679639, 498-4802970, 496-4633079, 496-4669165,498-4802963;i5040@m40.r50.nalog.ru;-;Код ОКПО:46248501000, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5042;ИФНС России по г.Сергиеву Посаду Московской области;5042105043;504201001;,141310,Московская обл,,Сергиев Посад г,,Красной Армии пр,190,,;496-5412922, 496-5412609;i5042@m42.r50.nalog.ru;-;Код ОКПО:11761989, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5043;Межрайонная ИФНС России №11 по Московской области;5043024703;504301001;,142200,Московская обл,,Серпухов г,,Джона Рида ул,7,,;496-7354735, 496-7354747, 496-7748491;i5043@m43.r50.nalog.ru;-;Код ОКПО:11761989, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5044;ИФНС России по г.Солнечногорску Московской области;5044010478;504401001;,141503,Московская обл,,Солнечногорск г,,Баранова ул,6,,;495-374-66-95;i5044@m44.r50.nalog.ru;-;Код ОКПО:11761995, Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5045;ИФНС России по г.Ступино Московской области;5045005336;504501001;,142803,Московская обл,,Ступино г,,Фрунзе ул,3,3,;496-6470734, 496-6425112;i5045@m45.r50.nalog.ru;-;Код ОКПО:11762003. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5047;Межрайонная ИФНС России №13 по Московской области;5047062900;504701001;,141407,Московская обл,,Химки г,,Юбилейный пр-т,61,,;495-9848580, 495-4088998, 495-5772674;i5047@m47.r50.nalog.ru;-;Код ОКПО:73099236. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5048;ИФНС России по г.Чехову Московской области;5048051281;504801001;,142306,Московская обл,,Чехов г,,Дружбы ул,23,,;496-7230346, 496-7230601;i5048@m48.r50.nalog.ru;-;Код ОКПО:11762032. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5049;Межрайонная ИФНС России №4 по Московской области;5049003241;504901001;,140700,Московская обл,,Шатура г,,Энергетиков ул,17,,;496-4524248, 496-4523274, 496-4524612, 496-4524765, 496-4520724;i5049@m49.r50.nalog.ru;-;Код ОКПО:11762049. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5050;Межрайонная ИФНС России №16 по Московской области;5050000012;505001001;,141100,Московская обл,,Щелково г,,Советская ул,4,,;496-5665136, 496-5665344, 496-564-50-77, 496-5669813;i5050@m50.r50.nalog.ru;-;Код ОКПО:11762055. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5053;ИФНС России по г.Электростали Московской области;5053000652;505301001;,144000,Московская обл,,Электросталь г,,Больничный пр,3,,;496-5743692, 496-5743231;i5053@m53.r50.nalog.ru;-;Код ОКПО:11762078. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5072;Межрайонная ИФНС России №8 по Московской области;5072703604;507201001;,140501,Московская обл,Луховицкий р-н,Луховицы г,,Тимирязева ул,15,,;496-6321485, 496-6342666;i5072@m72.r50.nalog.ru;-;Код ОКПО:11762109. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5074;Межрайонная ИФНС России №5 по Московской области;5036010996;503601001;,142100,Московская обл,,Подольск г,,Комсомольская ул,7,,;496-7632960, 496-7691913;i5074@m74.r50.nalog.ru;-;Код ОКПО:11762121. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5075;Межрайонная ИФНС России №21 по Московской области;5075002974;507501001;,143100,Московская обл,,Руза г,,Революционная ул,23,,;496-2723062, 496-2724648, 496-3840203;i5075@m75.r50.nalog.ru;-;Код ОКПО:1176238. Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5099;Межрайонная ИФНС России по крупнейшим налогоплательщикам по Московской области;7702335321;772701001;,117638,Москва г,,,,Сивашская ул,3,,;499-6199900, 499-6199800;i5099@m99.r50.nalog.ru;-;Код ОКПО 58730074,Прием: Понедельник - Четверг с 09.00 до 18.00. В Пятницу с 09.00 до 16.45. Без перерыва на обед.
9901;ИФНС России по городу и космодрому Байконуру;9901033336;990101001;,468320,Байконур г,,,,Осташева ул,5,,;336-2241408, 336-2242323;i9901@m9901.r50.nalog.ru;-;Прием: Понедельник, среда с 09.00 до 18.00. Вторник, четверг с 09.00 до 20.00. Пятница с 09.00 до 16.45. Первая и третья субботы месяца с 10.00 до 15.00. Без перерыва на обед.
5100;УФНС России по Мурманской области;5190132315;519001001;,183032,,, Мурманск г,, Заводская ул, д 7,,;(815-2) 684-000, 684-007 тел справочной службы (815-2) 684-029;u51@r51.nalog.ru;www.nalog.ru;Код ОКПО:11791039 Режим работы:пн-чт 8.30-16.45, пт.8.30-16.30, перерыв 12.00-13.00
5200;УФНС России по Нижегородской области;5200000310;526001001;,603005,Нижегородская обл,,Нижний Новгород г,,Минина ул,20,,;831 439-01-11, 831 439-13-33 факс: 831 439-05-95;u52@r52.nalog.ru;-;Код ОКПО:39252539. Режим работы: понедельник - четверг с 8.30 -17.30, пятница с 8.30 - 16.30. Перерыв на обед: 12.30 - 13.18
5222;Межрайонная ИФНС России № 10 по Нижегородской области;5222014035;522201001;,606210,Нижегородская обл,Лысковский р-н,Лысково г,,Мичурина ул,59,,;83149 5-31-60 факс: 83149 5-95-72;i5222@r52.nalog.ru;-;"Код ОКПО:25621200. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5228;Межрайонная ИФНС России № 8 по Нижегородской области;5228003640;522801001;,606650,Нижегородская обл,,Семенов г,,Ленина пл,2,,офис1;83162 5-36-53 , факс: 83162 5-33-19;i5228@r52.nalog.ru;-;"Код ОКПО:25606465. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5229;Межрайонная ИФНС России № 12 по Нижегородской области;5229005583;522901001;,607510,Нижегородская обл,Сергачский р-н,Сергач г,,Жукова ул,30,,;83191 5-12-67, факс: 83191 5-12-26;i5229@r52.nalog.ru;-;"Код ОКПО:42404332. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5235;Межрайонная ИФНС России № 13 по Нижегородской области;5235004267;523501001;,606800,Нижегородская обл,Уренский р-н,Урень г,,Ленина ул,86,,;83154 2-04-61, факс: 83154 2-13-67;i5235@r52.nalog.ru;-;"Код ОКПО:43023017. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5243;Межрайонная ИФНС России № 1 по Нижегородской области;5243015583;524301001;,607220,Нижегородская обл,,Арзамас г,,Кирова ул,31,,;83147 2-16-24, факс: 83147 7-18-22;i5243@r52.nalog.ru;-;"Код ОКПО:25664356. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5246;ИФНС России по Борскому району Нижегородской области;5246010086;524601001;,606440,Нижегородская обл,,Бор г,,Стеклозаводское ш,3а,,;83159 2-29-01, факс: 83159 2-30-37;i5246@r52.nalog.ru;-;"Код ОКПО:42402646. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5247;Межрайонная ИФНС России № 4 по Нижегородской области;5247015440;524701001;,607060,Нижегородская обл,,Выкса г,,Центральный мкр,7в,,;83177 3-22-39, факс: 83177 3-22-39;i5247@r52.nalog.ru;-;"Код ОКПО:43000200. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5248;Межрайонная ИФНС России № 5 по Нижегородской области;5248015587;524801001;,606502,Нижегородская обл,,Городец г,,Пролетарская пл,17,,;83161 9-13-70, факс: 83161 9-19-56;i5248@r52.nalog.ru;-;"Код ОКПО:42400050. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5249;Межрайонная ИФНС России № 2 по Нижегородской области;5249061610;524901001;,606010,Нижегородская обл,,Дзержинск г,,Октябрьская ул,43,,;8313 25-60-01, факс: 8313 26-88-06;i5249@r52.nalog.ru;-;"Код ОКПО:42416499. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5250;Межрайонная ИФНС России № 6 по Нижегородской области;5250028086;525001001;,607650,Нижегородская обл,,Кстово г,,Мира б-р,5,,;83145 4-36-70, факс 83145 3-81-81;i5250@r52.nalog.ru;-;"Код ОКПО:42410663. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5252;Межрайонная ИФНС России № 7 по Нижегородской области;5252012204;525201001;,606100,Нижегородская обл,,Павлово г,,Куйбышева ул,49,,;83171 2-98-70, факс: 83171 2-18-61;i5252@r52.nalog.ru;-;"Код ОКПО:42408502. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5253;Межрайонная ИФНС России по крупнейшим налогоплательщикам по Нижегородской области;5253001276;526001001;,603005,,,Нижний Новгород г,,Минина ул,20,,;831 439-02-69;i5253@r52.nalog.ru;-;Код ОКПО:39241493. Режим работы: понедельник - четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18.
5254;Межрайонная ИФНС России № 3 по Нижегородской области;5254026001;525401001;,607188,Нижегородская обл,,Саров г,,Ушакова ул,5,,;83130 3-48-37, факс: 83130 3-92-17;i5254@r52.nalog.ru;-;"Код ОКПО:37645223. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5256;ИФНС России по Автозаводскому району г.Н.Новгорода;5256034801;525601001;,603004,,,Нижний Новгород г,,Юлиуса Фучика ул,6,,;831 295-87-47, факс: 831 297-01-47;i5256@r52.nalog.ru;-;"Код ОКПО:43005446. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5257;ИФНС России по Канавинскому району г.Н.Новгорода;5257046101;525701001;,603011,,,Нижний Новгород г,,Искры ул,1,,;831 432-65-65, факс: 432-65-66;i5257@r52.nalog.ru;-;"Код ОКПО:70381914. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5258;ИФНС России по Ленинскому району г.Н.Новгорода;5258035293;525801001;,603029,,,Нижний Новгород г,,Космонавта Комарова ул,2б,,;831 250-24-15, факс: 831 250-38-89;i5258@r52.nalog.ru;-;"Код ОКПО:14334319. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5259;ИФНС России по Московскому району г.Н.Новгорода;5259025322;525901001;,603047,,,Нижний Новгород г,,Героя Давыдова ул,22,,;831 224-15-71, факс: 831 270-81-53;i5259@r52.nalog.ru;-;"Код ОКПО:70381570. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5260;ИФНС России по Нижегородскому району г.Н.Новгорода;5260090005;526001001;,603109,,,Нижний Новгород г,,Ильинская ул,52а,,;831 433-22-01, факс: 831 433-84-78;i5260@r52.nalog.ru;-;"Код ОКПО:25699975. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5261;ИФНС России по Приокскому району г.Н.Новгорода;5261025908;526101001;,603009,,,Нижний Новгород г,,Пятигорская ул,6а,,;831 465-20-64, факс: 831 464-20-77;i5261@r52.nalog.ru;-;"Код ОКПО:58592130. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5262;ИФНС России по Советскому району г.Н.Новгорода;5262082560;526201001;,603089,,,Нижний Новгород г,,Ижорская ул,50/4,,;831 428-67-44 , факс: 831 428-89-20;i5262@r52.nalog.ru;-;"Код ОКПО:14689672. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5263;ИФНС России по Сормовскому району г.Н.Новгорода;5263031209;526301001;,603037,,,Нижний Новгород г,,Культуры ул,115,,;831 229-14-40, факс 831 223-32-52;i5263@r52.nalog.ru;-;"Код ОКПО:57181582. Режим работы: понедельник-четверг 9.00-18.00, пятница 9.00-17.00, перерыв на обед 12.30-13.18. Информирование и прием деклараций в операционном зале: вторник, четверг до 20.00, пятница до 16.45; 2-я и 4-я суббота месяца 10.00-15.00"
5270;Межрайонная ИФНС России по ЦОД по Нижегородской области;5257063682;525701001;,603167,Нижегородская обл,,Нижний Новгород г,,Маршала Казакова ул,5а,,;831 244-84-00;i527000@mcod.r52.nalog.ru;-;Код ОКПО:70374699. Режим работы: Понедельник - четверг c 8.30 до 17.30, пятница c 8.30 до 16.30, перерыв на обед c 12.00 до 12.48.
